ITER,PRECISION,RECALL,F-SCORE,SOLVER,ACTIVATION,ALPHA,HIDDEN LAYERS
0,[ 0.91304348  0.94300518],[ 0.945  0.91 ],[ 0.92874693  0.92620865],lbfgs,logistic,0.001,(2, 3, 4)
0,[ 0.95061728  0.80672269],[ 0.77  0.96],[ 0.85082873  0.87671233],lbfgs,logistic,0.001,(2, 3, 5)
0,[ 0.91878173  0.90640394],[ 0.905  0.92 ],[ 0.91183879  0.91315136],lbfgs,logistic,0.001,(2, 3, 6)
0,[ 0.91089109  0.91919192],[ 0.92  0.91],[ 0.91542289  0.91457286],lbfgs,logistic,0.001,(2, 4, 2)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.001,(2, 4, 3)
0,[ 0.92783505  0.90291262],[ 0.9   0.93],[ 0.91370558  0.91625616],lbfgs,logistic,0.001,(2, 4, 4)
0,[ 0.90954774  0.90547264],[ 0.905  0.91 ],[ 0.90726817  0.90773067],lbfgs,logistic,0.001,(2, 4, 5)
0,[ 0.91219512  0.93333333],[ 0.935  0.91 ],[ 0.92345679  0.92151899],lbfgs,logistic,0.001,(2, 4, 6)
0,[ 0.92346939  0.90686275],[ 0.905  0.925],[ 0.91414141  0.91584158],lbfgs,logistic,0.001,(2, 5, 2)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.001,(2, 5, 3)
0,[ 0.90821256  0.93782383],[ 0.94   0.905],[ 0.92383292  0.92111959],lbfgs,logistic,0.001,(2, 5, 4)
0,[ 0.90291262  0.92783505],[ 0.93  0.9 ],[ 0.91625616  0.91370558],lbfgs,logistic,0.001,(2, 5, 5)
