ITER,KERNEL,PRECISION,RECALL,F-SCORE,C,GAMMA
1,rbf,[ 0.91758242  0.84862385],[ 0.835  0.925],[ 0.87434555  0.88516746],100,1
1,rbf,[ 0.91256831  0.84792627],[ 0.835  0.92 ],[ 0.87206266  0.882494  ],100,10
1,rbf,[ 0.87150838  0.80090498],[ 0.78   0.885],[ 0.823219    0.84085511],100,100
1,rbf,[ 0.91333333  0.748     ],[ 0.685  0.935],[ 0.78285714  0.83111111],100,1000
1,rbf,[ 0.92696629  0.84234234],[ 0.825  0.935],[ 0.87301587  0.88625592],1000,0.001
1,rbf,[ 0.91160221  0.84018265],[ 0.825  0.92 ],[ 0.86614173  0.87828162],1000,0.01
1,rbf,[ 0.92045455  0.83035714],[ 0.81  0.93],[ 0.86170213  0.87735849],1000,0.1
1,rbf,[ 0.90860215  0.85514019],[ 0.845  0.915],[ 0.87564767  0.88405797],1000,1
1,rbf,[ 0.91758242  0.84862385],[ 0.835  0.925],[ 0.87434555  0.88516746],1000,10
1,rbf,[ 0.86111111  0.79545455],[ 0.775  0.875],[ 0.81578947  0.83333333],1000,100
1,rbf,[ 0.90728477  0.74698795],[ 0.685  0.93 ],[ 0.78062678  0.8285078 ],1000,1000
2,linear,[ 0.93854749  0.85520362],[ 0.84   0.945],[ 0.88654354  0.89786223],0.01
2,linear,[ 0.93989071  0.87096774],[ 0.86   0.945],[ 0.89817232  0.90647482],0.1
2,linear,[ 0.93048128  0.87793427],[ 0.87   0.935],[ 0.89922481  0.90556901],1
2,linear,[ 0.92146597  0.88516746],[ 0.88   0.925],[ 0.90025575  0.90464548],10
2,linear,[ 0.91709845  0.88888889],[ 0.885  0.92 ],[ 0.90076336  0.9041769 ],100
2,linear,[ 0.91709845  0.88888889],[ 0.885  0.92 ],[ 0.90076336  0.9041769 ],1000
2,sigmoid,[ 0.92972973  0.86976744],[ 0.86   0.935],[ 0.89350649  0.90120482],0.01,0.001
